City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
34,humberto de campos,-2.5983,-43.4611,296.92,92,100,1.67,BR,1675308438
35,albany,42.6001,-73.9662,265.78,67,10,3.0,US,1675308470
36,sinnamary,5.3833,-52.95,297.11,90,100,2.75,GF,1675308572
37,esperance,-33.8667,121.9,291.52,71,99,5.15,AU,1675308573
38,urumqi,43.801,87.6005,257.68,85,6,1.0,CN,1675308409
39,lasa,46.6166,10.7002,271.68,94,59,3.44,IT,1675308573
40,kheralu,23.8833,72.6167,288.5,30,4,3.36,IN,1675308574
41,doka,13.5167,35.7667,295.21,21,43,6.77,SD,1675308574
42,rikitea,-23.1203,-134.9692,299.57,77,7,6.13,PF,1675308575
43,kapaa,22.0752,-159.319,299.33,83,40,4.63,US,1675308575
44,lompoc,34.6391,-120.4579,283.23,87,0,0.0,US,1675308575
45,axim,4.8699,-2.2405,298.55,91,0,1.82,GH,1675308576
46,goderich,43.7501,-81.7165,270.88,59,100,9.26,CA,1675308360
47,jalu,29.0331,21.5482,282.87,63,0,3.55,LY,1675308576
48,necochea,-38.5473,-58.7368,290.34,84,99,3.21,AR,1675308577
49,simbahan,6.3032,120.5836,300.44,74,100,1.37,PH,1675308577
50,puerto ayora,-0.7393,-90.3518,298.46,95,81,1.61,EC,1675308577
51,sisimiut,66.9395,-53.6735,254.96,94,100,1.15,GL,1675308578
52,muroto,33.2833,134.15,282.5,68,100,5.1,JP,1675308578
53,sao joao da barra,-21.6403,-41.0511,297.27,91,97,6.36,BR,1675308579
54,valleyview,55.0667,-117.2859,251.17,71,100,2.06,CA,1675308579
55,arraial do cabo,-22.9661,-42.0278,297.26,91,100,3.32,BR,1675308579
56,tautira,-17.7333,-149.15,301.0,71,35,8.5,PF,1675308580
57,catuday,16.2923,119.8062,301.21,64,6,1.91,PH,1675308580
58,pangnirtung,66.1451,-65.7125,243.71,78,100,1.11,CA,1675308581
59,tuktoyaktuk,69.4541,-133.0374,236.15,67,75,2.57,CA,1675308581
60,khani,41.9563,42.9566,271.91,99,100,1.55,GE,1675308582
